DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1953-04-30,F:Free,,A:Normal value,2.632456
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1953-05-31,F:Free,,A:Normal value,2.73249
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1953-06-30,F:Free,,A:Normal value,2.821993
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1953-07-31,F:Free,,A:Normal value,2.86148
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1953-08-31,F:Free,,A:Normal value,2.845685
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1953-09-30,F:Free,,A:Normal value,2.793036
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1953-10-31,F:Free,,A:Normal value,2.703533
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1953-11-30,F:Free,,A:Normal value,2.642986
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1953-12-31,F:Free,,A:Normal value,2.629824
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1954-01-31,F:Free,,A:Normal value,2.664046
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1954-02-28,F:Free,,A:Normal value,2.614029
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1954-03-31,F:Free,,A:Normal value,2.600867
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1954-04-30,F:Free,,A:Normal value,2.682473
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1954-05-31,F:Free,,A:Normal value,2.645619
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1954-06-30,F:Free,,A:Normal value,2.574542
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1954-07-31,F:Free,,A:Normal value,2.569277
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1954-08-31,F:Free,,A:Normal value,2.574542
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1954-09-30,F:Free,,A:Normal value,2.600867
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1954-10-31,F:Free,,A:Normal value,2.57191
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1954-11-30,F:Free,,A:Normal value,2.487671
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1954-12-31,F:Free,,A:Normal value,2.42186
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1955-01-31,F:Free,,A:Normal value,2.435022
"BIS,WS_LONG_CPI,1.0",M.IN.628,M:Monthly,IN:India,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1955-02-28,F:Free,,A:Normal value,2.416595
