DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1913-01-31,F:Free,,A:Normal value,4.494269
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1913-02-28,F:Free,,A:Normal value,4.494269
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1913-03-31,F:Free,,A:Normal value,4.494269
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1913-04-30,F:Free,,A:Normal value,4.494269
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1913-05-31,F:Free,,A:Normal value,4.448409
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1913-06-30,F:Free,,A:Normal value,4.494269
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1913-07-31,F:Free,,A:Normal value,4.540129
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1913-08-31,F:Free,,A:Normal value,4.540129
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1913-09-30,F:Free,,A:Normal value,4.585988
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1913-10-31,F:Free,,A:Normal value,4.585988
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1913-11-30,F:Free,,A:Normal value,4.631848
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1913-12-31,F:Free,,A:Normal value,4.585988
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1914-01-31,F:Free,,A:Normal value,4.585988
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1914-02-28,F:Free,,A:Normal value,4.540129
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1914-03-31,F:Free,,A:Normal value,4.540129
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1914-04-30,F:Free,,A:Normal value,4.494269
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1914-05-31,F:Free,,A:Normal value,4.540129
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1914-06-30,F:Free,,A:Normal value,4.540129
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1914-07-31,F:Free,,A:Normal value,4.585988
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1914-08-31,F:Free,,A:Normal value,4.677708
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1914-09-30,F:Free,,A:Normal value,4.677708
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1914-10-31,F:Free,,A:Normal value,4.631848
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1914-11-30,F:Free,,A:Normal value,4.677708
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1914-12-31,F:Free,,A:Normal value,4.631848
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1915-01-31,F:Free,,A:Normal value,4.631848
"BIS,WS_LONG_CPI,1.0",M.US.628,M:Monthly,US:United States,"628:Index, 2010 = 100","Index, 2010 = 100",Units,1915-02-28,F:Free,,A:Normal value,4.585988
